id,year,month,day,hour,locationName,latitude,longitude,eqMagnitude,intensity,damageAmountOrder,housesDestroyedAmountOrder,tsunamiEventId,eqMagMs,publish,deathsTotal,deathsAmountOrderTotal,damageAmountOrderTotal,housesDestroyedAmountOrderTotal,country,regionCode,minute,deaths,deathsAmountOrder,injuries,injuriesAmountOrder,housesDamagedAmountOrder,injuriesTotal,injuriesAmountOrderTotal,housesDamagedAmountOrderTotal,eqDepth,second,eqMagMw,eqMagMb,eqMagUnk,damageMillionsDollars,housesDestroyed,damageMillionsDollarsTotal,housesDestroyedTotal,housesDamaged,housesDamagedTotal,eqMagMl,volcanoEventId,eqMagMfa,missing,missingAmountOrder,missingTotal,missingAmountOrderTotal
757,1570,2,8,13.0,CHILE:  OLD CONCEPCION,-36.75,-73.0,8.3,11.0,2.0,3.0,179.0,8.3,True,2000.0,4.0,3.0,3.0,CHILE,160,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,1822,11,20,2.0,"CHILE:  VALPARAISO, QUILLOTA, CONCON,  ACONCAGUA",-33.0,-72.0,8.5,11.0,4.0,3.0,641.0,8.5,True,72.0,3.0,4.0,3.0,CHILE,160,30.0,72.0,3.0,200.0,3.0,3.0,200.0,3.0,3.0,,,,,,,,,,,,,,,,,,
2157,1869,8,24,17.0,"CHILE:  IQUIQUE, PICA; PERU:  TACNA",-19.6,-70.23,7.5,8.0,1.0,,1010.0,7.5,True,,,1.0,,CHILE,160,10.0,,,,,,,,,30.0,,,,,,,,,,,,,,,,,
2871,1909,6,8,5.0,CHILE,-26.5,-70.5,7.6,,,,1379.0,7.6,True,,,,,CHILE,160,46.0,,,,,,,,,,30.0,,,,,,,,,,,,,,,,
2997,1914,1,30,3.0,CHILE:  OFF CENTRAL COAST,-35.0,-73.0,7.6,,,,,7.6,True,,,,,CHILE,160,35.0,,,,,,,,,33.0,50.0,,,,,,,,,,,,,,,,
3378,1928,12,1,4.0,"CHILE:  TALCA, CHILLAN, SANTIAGO, SAN FERNANDO",-35.0,-72.0,7.6,9.0,3.0,3.0,1609.0,8.0,True,279.0,3.0,3.0,3.0,CHILE,160,6.0,279.0,3.0,,,,,,,25.0,12.0,7.6,,,,,,,,,,,,,,,
4223,1960,5,21,10.0,CHILE:  CENTRAL,-37.872,-73.243,8.2,,1.0,,1901.0,7.3,True,,1.0,1.0,,CHILE,160,2.0,,1.0,,3.0,,,3.0,,35.0,50.0,8.2,,,,,,,,,,,,,,,
4570,1971,6,17,21.0,"CHILE:  CATALINA, ANTOFAGASTA",-25.5,-69.2,6.3,5.0,2.0,,,,True,1.0,1.0,2.0,,CHILE,160,,1.0,1.0,,,,,,,93.0,40.9,,6.3,7.0,,,,,,,,,,,,,
5060,1985,3,17,10.0,"CHILE:  VALPARAISO, VINA DEL MAR",-32.663,-71.551,6.6,7.0,2.0,,,6.6,True,1.0,1.0,2.0,,CHILE,160,41.0,1.0,1.0,,,,,,,33.0,38.4,,5.9,,,,,,,,,,,,,,
5129,1987,3,5,9.0,"CHILE:  ANTOFAGASTA, ARICA",-24.388,-70.161,7.3,6.0,2.0,,2169.0,7.3,True,1.0,1.0,2.0,,CHILE,160,17.0,1.0,1.0,,,,,,,62.0,5.2,,6.5,,,,,,,,,,,,,,
5416,1995,7,30,5.0,"CHILE:  ANTOFAGASTA, CALAMA, MEJILLONES",-23.34,-70.294,8.0,7.0,2.0,3.0,2249.0,7.3,True,3.0,1.0,2.0,3.0,CHILE,160,11.0,3.0,1.0,58.0,2.0,,,,,46.0,23.6,8.0,6.6,,1.66,115.0,1.791,115.0,,,,,,,,,
5475,1997,10,15,1.0,"CHILE:  PUEBLO NUEVO, COQUIMBO, LA CHIMBA",-30.933,-71.22,7.1,,4.0,4.0,,6.8,True,8.0,1.0,4.0,4.0,CHILE,160,3.0,8.0,1.0,300.0,3.0,4.0,300.0,3.0,4.0,58.0,33.4,7.1,6.8,,48.0,5000.0,48.0,5000.0,15700.0,15700.0,,,,,,,
5628,2002,4,1,19.0,"CHILE:  CENTRAL:  COQUIMBO, LA SERENA, OVALLE",-29.67,-71.384,6.4,,1.0,,,,True,,,1.0,,CHILE,160,59.0,,,,,,,,,71.0,32.4,6.4,6.1,,,,,,,,,,,,,,
5777,2004,5,3,4.0,CHILE: CANETE,-37.695,-73.406,6.6,6.0,1.0,,,6.5,True,,,1.0,,CHILE,160,36.0,,,,,,,,,21.0,50.0,6.6,5.9,,,,,,,,6.4,,,,,,
6129,1858,4,24,11.0,CHILE:  LA SERENA,-30.0,-71.4,6.5,8.0,,,875.0,6.5,True,,1.0,,,CHILE,160,15.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
6283,1923,5,4,22.0,CHILE:  VALLENAR,-28.75,-71.75,7.0,,2.0,2.0,1518.0,7.0,True,,,2.0,2.0,CHILE,160,26.0,,,,,2.0,,,2.0,60.0,45.0,,6.7,,,,,,,,,,,,,,
6543,1925,5,15,11.0,CHILE:  NORTHERN,-26.0,-71.5,7.1,,,,1555.0,7.1,True,,,,,CHILE,160,56.0,,,,,,,,,50.0,57.0,,,,,,,,,,,,,,,,
6770,2005,8,14,2.0,CHILE:  TARAPACA,-19.78,-68.98,5.8,,1.0,,,,True,,,1.0,,CHILE,160,39.0,,,,,,,,,11.0,40.3,5.8,5.7,,,,,,,,,,,,,,
9884,2012,4,17,3.0,CHILE:  VALPARAISO,-32.625,-71.365,6.7,,1.0,,,6.2,True,2.0,1.0,1.0,,CHILE,160,50.0,2.0,1.0,,,2.0,,,2.0,29.0,15.6,6.7,6.2,,,,,,,,,,,,,,
10388,2019,1,20,1.0,"CHILE:  COQUIMBO, LA SERENA",-30.04,-71.382,6.7,,2.0,,,,True,2.0,1.0,2.0,,CHILE,160,32.0,2.0,1.0,,,4.0,,,4.0,63.0,48.0,6.7,,,,,,,1061.0,1061.0,,,,,,,
10080,2014,4,3,2.0,CHILE:  NORTHERN:  IQUIQUE,-20.571,-70.493,7.7,8.0,,,5558.0,,True,,,,,CHILE,160,43.0,,,,,,,,,22.0,13.1,7.7,,,,,,,,,,,,,,,
1319,1751,5,25,5.0,"CHILE:  CONCEPCION, CHILLAN, TALCA, TUTUBEN, CURICO",-36.83,-71.63,8.5,11.0,3.0,3.0,440.0,8.5,True,65.0,2.0,3.0,3.0,CHILE,160,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,1851,4,2,10.0,CHILE:  VALPARAISO,-33.32,-71.42,7.1,8.0,3.0,3.0,777.0,7.1,True,,1.0,3.0,3.0,CHILE,160,48.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2139,1868,8,13,21.0,CHILE:  ARICA,-18.6,-71.0,8.5,11.0,4.0,,983.0,8.5,True,25000.0,4.0,4.0,,CHILE,160,30.0,25000.0,4.0,,,,,,,25.0,,,,,,,300.0,,,,,,,,,,
2183,1871,10,5,9.0,CHILE,-20.2,-70.2,7.3,10.0,3.0,3.0,1029.0,7.3,True,,1.0,3.0,3.0,CHILE,160,,,1.0,,,,,,,,,,,,,101.0,,101.0,,,,,,,,,
2248,1877,5,10,0.0,CHILE:  OFF NORTH COAST,-21.5,-70.5,8.3,11.0,2.0,3.0,1075.0,8.3,True,2385.0,4.0,3.0,3.0,CHILE,160,59.0,103.0,2.0,,,,,,,40.0,,,,,1.6,,,,,,,,,,,,
3508,1933,2,23,8.0,CHILE,-20.0,-71.0,7.6,,,,1659.0,7.6,True,,,,,CHILE,160,9.0,,,,,,,,,40.0,12.0,,,,,,,,,,,,,,,,
3740,1943,4,6,16.0,CHILE:  ILLAPEL,-30.75,-72.0,8.2,,1.0,1.0,1752.0,7.9,True,11.0,1.0,1.0,1.0,CHILE,160,7.0,11.0,1.0,,,,,,,35.0,15.0,8.2,7.6,,,,,,,,,,,,,,
4021,1953,5,6,17.0,"CHILE:  CHILLAN, CONCEPCION",-36.5,-72.5,7.6,10.0,4.0,,1836.0,,True,9.0,1.0,4.0,,CHILE,160,16.0,9.0,1.0,26.0,1.0,,26.0,1.0,,60.0,43.0,,,,500.0,,500.0,,,,7.6,,,,,,
5120,1986,12,19,5.0,"CHILE:  CENTRAL, VALPARAISO",-33.071,-72.084,5.0,3.0,1.0,1.0,,,True,,,1.0,1.0,CHILE,160,47.0,,,,2.0,,,2.0,,33.0,29.0,,5.0,,,16.0,,16.0,,,,,,,,,
