time,mag,cdi,mmi,dmin,place,earthquakeType,alert,sig,tsunami,longitude,latitude,depth,country
2021-12-30,4.5,,,844.4528,Kermadec Islands region,earthquake,,312,0,-177.917,-31.8347,10.0,Kermadec Islands region
2021-12-30,1.5,,,3.8275040000000002,"33 km W of Nanwalek, Alaska",earthquake,,35,0,-152.509,59.3946,84.0,Alaska
2021-12-30,4.5,,,1427.0296,"294 km SE of Hadibu, Yemen",earthquake,,312,0,55.898,10.7326,10.0,Yemen
2021-12-30,1.52,,,1.9048559999999999,"11km NE of Coso Junction, CA",earthquake,,36,0,-117.8486667,36.1011667,1.71,CA
2021-12-30,4.6,,,277.1104,"257 km NE of Lospalos, Timor Leste",earthquake,,326,0,128.9137,-7.19,10.0,Timor Leste
2021-12-30,1.7,,,3.8275040000000002,"51 km NE of Pedro Bay, Alaska",earthquake,,44,0,-153.3716,60.0711,139.5,Alaska
2021-12-30,1.35,,,10.970992,"9km NE of Ocotillo Wells, CA",earthquake,,28,0,-116.0681667,33.2081667,8.08,CA
2021-12-30,1.06,,,4.305664,"17km W of Searles Valley, CA",earthquake,,17,0,-117.5923333,35.7771667,6.79,CA
2021-12-30,4.4,,,1287.9184,north of Severnaya Zemlya,earthquake,,298,0,90.969,85.208,10.0,north of Severnaya Zemlya
2021-12-30,0.86,,,1.7391680000000003,"8km WNW of Cobb, CA",earthquake,,11,0,-122.8101654,38.8406677,1.27,CA
2021-12-30,3.5,2.0,4.005,6.880621005616,western Texas,earthquake,,189,0,-104.5869232,31.75726715,5.848779297,western Texas
2021-12-30,1.12,0.0,,1.8058880000000002,"8km WNW of Cobb, CA",earthquake,,19,0,-122.8108368,38.8416672,1.27,CA
2021-12-30,1.0,,,3.8275040000000002,"51 km SSE of Denali National Park, Alaska",earthquake,,15,0,-151.4681,63.0954,1.6,Alaska
2021-12-30,1.56,,,3.8275040000000002,"47 km SE of Naalehu, Hawaii",earthquake,,37,0,-155.212833333333,18.8201666666667,7.56,Hawaii
2021-12-30,2.29,,,105.3064,"24 km WNW of Stanley, Idaho",earthquake,,81,0,-115.1975,44.3336667,10.33,Idaho
2021-12-30,1.1,,,3.8275040000000002,"12 km E of Fox, Alaska",explosion,,19,0,-147.3512,64.9804,0.0,Alaska
2021-12-30,1.3,,,3.8275040000000002,"36 km NNW of Sutton-Alpine, Alaska",earthquake,,26,0,-148.9526,62.092,42.5,Alaska
2021-12-30,4.1,,,1294.5904,north of Severnaya Zemlya,earthquake,,259,0,91.8424,85.2632,10.0,north of Severnaya Zemlya
2021-12-30,0.49,,,9.462008,"9km NE of Cabazon, CA",earthquake,,4,0,-116.7305,33.9791667,14.54,CA
2021-12-30,1.94,,,3.8275040000000002,"3 km SE of P?hala, Hawaii",earthquake,,58,0,-155.455,19.1835,38.1,Hawaii
2021-12-30,1.5,2.2,,3.062448,"2km S of Alamo, CA",earthquake,,35,0,-122.0361667,37.834,9.53,CA
2021-12-30,1.0,,,3.8275040000000002,"7 km S of Point Possession, Alaska",earthquake,,15,0,-150.7,60.8526,45.3,Alaska
2021-12-30,1.4,,,3.8275040000000002,"76 km N of Dawson City, Canada",earthquake,,30,0,-139.3062,64.7435,17.4,Canada
2021-12-30,1.97,,,3.8275040000000002,"5km ESE of Aromas, CA",earthquake,,60,0,-121.593,36.8646667,5.21,CA
2021-12-30,1.0,,,3.8275040000000002,"36 km SSE of Nelchina, Alaska",earthquake,,15,0,-146.3857,61.7155,31.6,Alaska
2021-12-30,5.0,,,269.2152,"254 km ESE of Tadine, New Caledonia",earthquake,,385,0,170.0671,-22.6042,10.0,New Caledonia
2021-12-30,5.0,,,279.00079999999997,"256 km ESE of Tadine, New Caledonia",earthquake,,385,0,170.1563,-22.4737,10.0,New Caledonia
2021-12-30,1.8,,,3.8275040000000002,"89 km WSW of Karluk, Alaska",earthquake,,50,0,-155.8312,57.2691,67.6,Alaska
2021-12-30,5.0,,,197.7136,"198 km SSW of Lajes das Flores, Portugal",earthquake,,385,0,-31.7687,37.6534,10.0,Portugal
2021-12-30,2.5,,,41.4776,"45 km SE of Imlay, Nevada",earthquake,,96,0,-117.7098,40.4315,5.0,Nevada
