id,year,month,day,hour,locationName,latitude,longitude,eqMagnitude,eqDepth,damageAmountOrder,damageMillionsDollars,publish,housesDestroyedAmountOrderTotal,country,deathsAmountOrder,injuriesAmountOrderTotal,intensity
942,1640,7.0,31.0,,JAPAN:  UCHIURA BAY,42.07,140.68,6.5,,1.0,,True,1.0,JAPAN,,,
5568,2000,7.0,1.0,7.0,JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA,34.221,139.131,6.1,10.0,1.0,,True,,JAPAN,1.0,3.0,
10545,2021,5.0,25.0,9.0,RWANDA: RUBAVU; CONGO,-1.601,29.4,4.7,10.0,2.0,,True,4.0,RWANDA,,,7.0
8051,1959,8.0,10.0,23.0,CHINA:  SHAANXI PROVINCE,35.6,110.9,5.4,,1.0,,True,1.0,CHINA,,,7.0
5520,1999,4.0,3.0,6.0,"PERU:  CAMANA, AREQUIPA",-16.66,-72.662,6.8,87.0,2.0,,True,,PERU,1.0,1.0,6.0
9552,2010,9.0,27.0,11.0,IRAN:  SHIRAZ,29.647,51.665,5.8,27.0,1.0,,True,1.0,IRAN,1.0,1.0,
2866,1909,5.0,11.0,15.0,CHINA:  YUNNAN PROVINCE,24.4,103.0,6.5,,2.0,,True,3.0,CHINA,1.0,,8.0
5433,1996,2.0,17.0,5.0,"INDONESIA:  NEW GUINEA:  IRIAN JAYA:  BIAK, SUPIORI",-0.891,136.952,8.2,33.0,2.0,4.2,True,4.0,INDONESIA,2.0,3.0,9.0
8130,2008,5.0,7.0,16.0,JAPAN:  HONSHU:  E COAST,36.158,141.521,6.8,39.0,1.0,,True,,JAPAN,,1.0,
2419,1892,5.0,16.0,11.0,GUAM,14.0,143.3,7.5,,2.0,,True,1.0,USA TERRITORY,,,8.0
7746,2008,1.0,5.0,1.0,"GUATEMALA:  COLOMBA, FLORES, COSTA CUCA",14.129,-91.479,5.6,66.0,1.0,,True,,GUATEMALA,,,
