0,1,2,3,4
,,,,
2023/06/28 05:22,"Northern Soya Region, Hokkaido",3.0,2,2023/06/28 05:25
2023/06/28 03:02,Northern Ibaraki Prefecture,3.1,1,2023/06/28 03:04
2023/06/28 02:25,"Eastern Hidaka Region, Hokkaido",3.4,2,2023/06/28 02:28
2023/06/28 01:27,Off the east Coast of Chiba Prefecture,4.3,1,2023/06/28 01:30
2023/06/28 00:08,Off the east Coast of Chiba Prefecture,4.8,2,2023/06/28 00:11
2023/06/27 20:39,Northern Sea of Japan,6.2,3,2023/06/27 20:45
2023/06/27 12:55,Off the Coast of Noto Peninsula,3.3,2,2023/06/27 12:58
2023/06/26 15:24,"Hida, Gifu Prefecture",2.3,1,2023/06/26 15:27
2023/06/25 13:49,Off the Coast of Iwate Prefecture,3.4,1,2023/06/25 13:52
2023/06/25 11:52,Northern Nagano Prefecture,2.9,2,2023/06/25 11:55
2023/06/25 06:18,Off the Coast of Fukushima Prefecture,3.8,1,2023/06/25 06:20
2023/06/25 05:46,Off the Coast of Iwate Prefecture,3.7,1,2023/06/25 05:48
2023/06/24 21:07,"Hida, Gifu Prefecture",3.0,2,2023/06/24 21:10
2023/06/24 10:50,Northern Nagano Prefecture,2.5,1,2023/06/24 10:52
2023/06/24 09:24,"Hamadori, Fukushima Prefecture",3.5,1,2023/06/24 09:27
2023/06/24 08:39,Off the Coast of Miyagi Prefecture,3.8,1,2023/06/24 08:42
2023/06/23 21:58,Off the Coast of Fukushima Prefecture,4.9,3,2023/06/23 22:03
2023/06/23 16:04,Western Shizuoka Prefecture,2.9,1,2023/06/23 16:07
2023/06/23 14:39,Off the east Coast of Soya,5.8,2,2023/06/23 14:45
2023/06/23 12:43,Adjacent Sea of Ioto Island,4.9,1,2023/06/23 12:49
2023/06/23 08:07,Northern Nagano Prefecture,1.8,1,2023/06/23 08:10
2023/06/22 23:57,Northern Wakayama Prefecture,2.6,1,2023/06/23 00:00
2023/06/22 19:06,Northern Wakayama Prefecture,2.3,1,2023/06/22 19:09
2023/06/22 09:47,Adjacent Sea of Tokara Islands,3.1,2,2023/06/22 09:49
2023/06/22 07:31,"Southern Sorachi Region, Hokkaido",4.5,2,2023/06/22 07:33
2023/06/22 06:31,Off the Coast of Ibaraki Prefecture,3.7,2,2023/06/22 06:35
2023/06/22 04:39,Off the Coast of Urakawa,4.1,3,2023/06/22 04:43
2023/06/21 22:24,Adjacent Sea of Okinawa Main Island,5.2,3,2023/06/21 22:28
2023/06/21 13:07,Adjacent Sea of Tokara Islands,3.0,1,2023/06/21 13:10
2023/06/21 05:46,Tokyo Bay,3.4,1,2023/06/21 05:48
2023/06/21 03:55,"Noto, Ishikawa Prefecture",3.0,1,2023/06/21 03:58
2023/06/20 21:21,Western Aichi Prefecture,3.4,2,2023/06/20 21:23
2023/06/20 18:22,Off the Coast of Iwate Prefecture,3.6,1,2023/06/20 18:24
2023/06/20 18:17,Western Aichi Prefecture,3.2,1,2023/06/20 18:20
2023/06/20 13:10,Southern Inland of Iwate Prefecture,3.3,1,2023/06/20 13:12
2023/06/20 12:10,"Aizu, Fukushima Prefecture",2.4,1,2023/06/20 12:14
2023/06/20 08:10,Northern Nagano Prefecture,3.9,3,2023/06/20 08:14
2023/06/20 06:25,Off the Coast of Miyagi Prefecture,3.6,1,2023/06/20 06:27
2023/06/19 22:53,Adjacent Sea of Tokara Islands,3.0,2,2023/06/19 22:56
2023/06/19 20:47,Off the east Coast of Osumi Peninsula,3.9,1,2023/06/19 20:50
2023/06/19 20:44,Southern Saitama Prefecture,3.8,2,2023/06/19 20:48
2023/06/19 01:50,"Southern Tokachi Region, Hokkaido",5.2,3,2023/06/19 01:55
2023/06/18 22:39,Adjacent Sea of Tokara Islands,3.0,2,2023/06/18 22:42
2023/06/18 22:32,Adjacent Sea of Izu-Oshima Island,2.9,2,2023/06/18 22:35
2023/06/18 22:31,Adjacent Sea of Izu-Oshima Island,2.9,1,2023/06/18 22:34
2023/06/18 22:26,Adjacent Sea of Izu-Oshima Island,2.3,1,2023/06/18 22:29
2023/06/18 22:19,Adjacent Sea of Izu-Oshima Island,2.2,1,2023/06/18 22:23
2023/06/18 21:44,Adjacent Sea of Izu-Oshima Island,2.6,1,2023/06/18 21:47
2023/06/18 17:37,Off the east Coast of Osumi Peninsula,4.2,2,2023/06/18 17:41
2023/06/18 16:59,"Aizu, Fukushima Prefecture",2.5,1,2023/06/18 17:02
2023/06/18 13:58,Off the east Coast of Osumi Peninsula,4.8,3,2023/06/18 14:03
2023/06/18 12:53,Adjacent Sea of Izu-Oshima Island,2.7,1,2023/06/18 12:57
2023/06/18 07:33,Eastern Toyama Prefecture,3.3,1,2023/06/18 07:36
2023/06/17 08:42,Off the east Coast of Aomori Prefecture,4.8,2,2023/06/17 08:46
2023/06/17 08:37,Southern Sea of Okhotsk,5.8,2,2023/06/17 08:42
2023/06/17 06:37,"Eastern Hidaka Region, Hokkaido",4.1,2,2023/06/17 06:41
2023/06/16 21:26,Off the east Coast of Aomori Prefecture,5.7,3,2023/06/16 21:30
2023/06/16 15:49,Adjacent Sea of Tokara Islands,2.2,1,2023/06/16 15:53
2023/06/16 09:24,Northeastern Chiba Prefecture,4.9,4,2023/06/16 09:27
2023/06/16 09:14,Northwestern Chiba Prefecture,4.0,2,2023/06/16 09:17
2023/06/16 00:53,Off the west Coast of Satsuma Peninsula,2.3,2,2023/06/16 00:56
2023/06/16 00:20,Adjacent Sea of Tokara Islands,2.4,2,2023/06/16 00:23
2023/06/15 15:06,South Pacific Ocean,7.0,-,2023/06/15 15:31
2023/06/15 04:31,Off the Coast of Noto Peninsula,3.5,1,2023/06/15 04:34
2023/06/14 19:42,"Adjacent Sea of Niijima Island, Kozushima Island",2.4,1,2023/06/14 19:44
2023/06/14 17:24,Northern Ibaraki Prefecture,3.1,1,2023/06/14 17:26
2023/06/14 15:49,Off the Coast of Noto Peninsula,2.7,1,2023/06/14 15:52
2023/06/14 12:06,Northeastern Chiba Prefecture,4.2,2,2023/06/14 12:12
2023/06/14 11:25,Off the northeast Coast of Amami-Oshima Island,4.3,1,2023/06/14 11:29
2023/06/14 07:01,Off the Coast of Noto Peninsula,3.9,2,2023/06/14 07:04
2023/06/13 20:43,Adjacent Sea of Tokara Islands,2.7,2,2023/06/13 20:47
2023/06/13 20:30,Adjacent Sea of Tokara Islands,2.4,2,2023/06/13 20:33
2023/06/13 20:23,Adjacent Sea of Tokara Islands,3.1,3,2023/06/13 20:27
2023/06/13 05:03,Adjacent Sea of Tokara Islands,2.5,1,2023/06/13 05:06
2023/06/13 03:49,Adjacent Sea of Tokara Islands,2.4,2,2023/06/13 03:52
2023/06/12 19:32,"Noto, Ishikawa Prefecture",3.3,2,2023/06/12 19:34
2023/06/12 01:51,Northern Coast of Iwate Prefecture,3.8,1,2023/06/12 01:54
2023/06/11 22:06,Adjacent Sea of Tokara Islands,1.8,1,2023/06/11 22:09
2023/06/11 18:27,Southeastern Hyogo Prefecture,2.5,1,2023/06/11 18:30
2023/06/11 15:56,Adjacent Sea of Tokara Islands,2.3,1,2023/06/11 15:59
2023/06/11 09:25,Adjacent Sea of Yonagunijima Island,4.7,1,2023/06/11 09:29
2023/06/11 06:55,Off the Coast of Urakawa,6.2,5-,2023/06/11 06:59
2023/06/10 17:53,"Northern Soya Region, Hokkaido",2.7,1,2023/06/10 17:56
2023/06/10 14:45,"Nakadori, Fukushima Prefecture",2.9,1,2023/06/10 14:47
2023/06/10 13:21,Northern Wakayama Prefecture,4.1,2,2023/06/10 13:24
2023/06/10 13:01,"Noto, Ishikawa Prefecture",3.3,1,2023/06/10 13:04
2023/06/10 06:22,"Northern Soya Region, Hokkaido",2.5,1,2023/06/10 06:26
2023/06/10 05:57,Off the Coast of Miyagi Prefecture,3.6,2,2023/06/10 06:00
2023/06/09 18:21,"Noto, Ishikawa Prefecture",3.1,2,2023/06/09 18:24
2023/06/09 15:45,"Adjacent Sea of Niijima Island, Kozushima Island",2.6,1,2023/06/09 15:49
2023/06/09 15:41,"Aso Region, Kumamoto Prefecture",2.1,1,2023/06/09 15:45
2023/06/09 15:30,"Adjacent Sea of Niijima Island, Kozushima Island",3.7,2,2023/06/09 15:34
2023/06/09 10:48,"Noto, Ishikawa Prefecture",3.3,2,2023/06/09 10:50
2023/06/09 08:45,Off the Coast of Noto Peninsula,3.8,3,2023/06/09 08:49
2023/06/08 20:35,Adjacent Sea of Amami-Oshima Island,3.7,1,2023/06/08 20:39
2023/06/08 18:21,Off the west Coast of Satsuma Peninsula,4.6,1,2023/06/08 18:25
2023/06/08 17:11,"Noto, Ishikawa Prefecture",2.5,1,2023/06/08 17:14
2023/06/08 13:43,Northern Wakayama Prefecture,3.0,1,2023/06/08 13:46
2023/06/08 09:49,Off the Coast of Noto Peninsula,3.2,1,2023/06/08 09:52
2023/06/08 09:37,Off the east Coast of Chiba Prefecture,3.0,1,2023/06/08 09:40
2023/06/08 07:34,Off the Coast of Fukushima Prefecture,4.1,2,2023/06/08 07:37
2023/06/08 06:02,"Kumamoto Region, Kumamoto Prefecture",2.1,1,2023/06/08 06:06
2023/06/07 16:54,Northern Ibaraki Prefecture,3.6,2,2023/06/07 16:57
2023/06/07 06:43,Adjacent Sea of Tokara Islands,2.5,1,2023/06/07 06:46
2023/06/07 04:50,Adjacent Sea of Tokara Islands,2.2,1,2023/06/07 04:53
2023/06/06 19:46,Adjacent Sea of Tokara Islands,2.0,1,2023/06/06 19:49
2023/06/06 09:17,Adjacent Sea of Tokara Islands,2.5,2,2023/06/06 09:20
2023/06/06 06:17,"Hida, Gifu Prefecture",3.0,1,2023/06/06 06:20
2023/06/05 22:26,Southern Inland of Akita Prefecture,2.7,2,2023/06/05 22:28
2023/06/05 19:18,Adjacent Sea of Tokara Islands,2.5,1,2023/06/05 19:21
2023/06/05 18:25,Northern Ibaraki Prefecture,3.8,2,2023/06/05 18:28
2023/06/05 18:05,Off the Coast of Miyagi Prefecture,3.9,1,2023/06/05 18:08
2023/06/05 17:46,Off the Coast of Ibaraki Prefecture,3.6,2,2023/06/05 17:49
2023/06/05 16:52,Adjacent Sea of Tokara Islands,2.7,1,2023/06/05 16:54
2023/06/05 09:46,Off the Coast of Ibaraki Prefecture,3.6,1,2023/06/05 09:48
2023/06/05 01:01,Off the Coast of Noto Peninsula,3.3,1,2023/06/05 01:03
2023/06/04 23:35,Off the Coast of Miyagi Prefecture,4.5,2,2023/06/04 23:38
2023/06/04 22:28,Northern Hiroshima Prefecture,2.9,1,2023/06/04 22:31
2023/06/04 10:59,Off the Coast of Fukushima Prefecture,4.4,1,2023/06/04 11:02
2023/06/04 08:45,Adjacent Sea of Tokara Islands,2.1,1,2023/06/04 08:48
2023/06/04 08:35,Adjacent Sea of Tokara Islands,2.5,1,2023/06/04 08:38
2023/06/04 07:42,Adjacent Sea of Tokara Islands,3.2,2,2023/06/04 07:45
2023/06/04 03:50,Northwestern Chiba Prefecture,4.0,1,2023/06/04 03:53
2023/06/04 02:37,Southern Inland of Akita Prefecture,2.7,1,2023/06/04 02:39
2023/06/03 22:58,Northwestern Chiba Prefecture,4.6,3,2023/06/03 23:02
2023/06/03 18:12,Off the Coast of Noto Peninsula,3.0,2,2023/06/03 18:15
2023/06/03 16:45,Adjacent Sea of Tokara Islands,2.2,1,2023/06/03 16:48
2023/06/03 15:57,Off the Coast of Kushiro,3.5,1,2023/06/03 16:01
2023/06/03 14:19,Adjacent Sea of Tokara Islands,2.4,1,2023/06/03 14:22
2023/06/03 13:17,Adjacent Sea of Tokara Islands,2.8,1,2023/06/03 13:21
2023/06/03 07:35,Off the Coast of Urakawa,5.1,3,2023/06/03 07:39
2023/06/03 02:59,"Chuetsu, Niigata Prefecture",2.6,1,2023/06/03 03:01
2023/06/03 02:13,"Noto, Ishikawa Prefecture",2.5,1,2023/06/03 02:15
2023/06/02 13:51,Northern Wakayama Prefecture,2.3,1,2023/06/02 13:54
2023/06/02 05:06,"Hida, Gifu Prefecture",2.7,1,2023/06/02 05:09
2023/06/02 04:45,Tsugaru Strait,3.4,1,2023/06/02 04:48
2023/06/02 01:04,Off the Coast of Ibaraki Prefecture,3.1,1,2023/06/02 01:07
2023/06/01 18:36,Adjacent Sea of Tokara Islands,2.1,1,2023/06/01 18:39
2023/06/01 14:57,"Hida, Gifu Prefecture",2.5,1,2023/06/01 15:00
2023/06/01 14:55,"Hida, Gifu Prefecture",2.8,1,2023/06/01 14:57
2023/06/01 10:14,Adjacent Sea of Tokara Islands,2.4,1,2023/06/01 10:17
2023/06/01 08:47,Adjacent Sea of Tokara Islands,2.4,1,2023/06/01 08:50
2023/06/01 08:27,Adjacent Sea of Tokara Islands,3.1,2,2023/06/01 08:29
2023/06/01 08:11,Adjacent Sea of Tokara Islands,3.6,3,2023/06/01 08:14
2023/06/01 07:34,Adjacent Sea of Tokara Islands,2.1,1,2023/06/01 07:37
2023/06/01 05:49,Adjacent Sea of Tokara Islands,2.2,1,2023/06/01 05:52
2023/06/01 04:40,Adjacent Sea of Amami-Oshima Island,3.5,1,2023/06/01 04:43
2023/06/01 03:00,Adjacent Sea of Tokara Islands,2.4,1,2023/06/01 03:02
2023/06/01 00:04,Off the Coast of Ibaraki Prefecture,3.6,1,2023/06/01 00:07
2023/05/31 23:58,Adjacent Sea of Tokara Islands,2.2,1,2023/06/01 00:01
2023/05/31 23:42,Adjacent Sea of Tokara Islands,2.1,1,2023/05/31 23:45
2023/05/31 23:32,Adjacent Sea of Tokara Islands,2.4,1,2023/05/31 23:35
2023/05/31 23:28,Adjacent Sea of Tokara Islands,4.4,4,2023/05/31 23:32
2023/05/31 22:29,Adjacent Sea of Tokara Islands,2.4,1,2023/05/31 22:32
2023/05/31 12:03,Off the Coast of Miyagi Prefecture,4.4,2,2023/05/31 12:08
2023/05/31 12:03,Off the Coast of Noto Peninsula,4.2,2,2023/05/31 12:06
2023/05/31 11:41,Off the east Coast of Chiba Prefecture,3.4,1,2023/05/31 11:44
2023/05/31 09:15,Northern Wakayama Prefecture,2.6,1,2023/05/31 09:18
2023/05/31 08:12,Central Setonaikai Sea,3.3,1,2023/05/31 08:15
2023/05/31 03:20,Kiisuido Strait,3.1,1,2023/05/31 03:23
2023/05/30 22:04,Off the Coast of Miyagi Prefecture,3.7,1,2023/05/30 22:07
2023/05/30 19:49,Adjacent Sea of Hachijojima Island,4.3,1,2023/05/30 19:51
2023/05/30 16:06,"Hida, Gifu Prefecture",2.8,1,2023/05/30 16:09
2023/05/30 15:41,"Noto, Ishikawa Prefecture",2.5,1,2023/05/30 15:43
2023/05/30 10:52,Off the Coast of Fukushima Prefecture,4.0,2,2023/05/30 10:55
2023/05/30 08:16,"Kumamoto Region, Kumamoto Prefecture",3.8,3,2023/05/30 08:19
2023/05/30 07:24,"Noto, Ishikawa Prefecture",2.4,2,2023/05/30 07:26
2023/05/30 05:57,"Hida, Gifu Prefecture",2.4,1,2023/05/30 06:03
2023/05/30 05:49,Off the Coast of Noto Peninsula,4.5,4,2023/05/30 05:52
2023/05/30 05:30,"Adjacent Sea of Niijima Island, Kozushima Island",2.2,1,2023/05/30 05:34
2023/05/30 01:28,"Noto, Ishikawa Prefecture",2.7,1,2023/05/30 01:31
