time,mag,cdi,mmi,dmin,place,earthquakeType,sig,tsunami,longitude,latitude,depth,country,id_e
10/7/2023 0:00:00,4.6,1.85,,246.6416,"11 km SSE of Asahi, Japan",earthquake,326,0,140.7052,35.6282,55.392,japan,"2023-07-10 00:00:00_11 km SSE of Asahi, Japan_earthquake_4.6_140.7052_35.6282"
10/7/2023 0:00:00,4.3,1.85,,265.768,"24 km ESE of Iwaki, Japan",earthquake,284,0,141.1363,36.9715,74.452,japan,"2023-07-10 00:00:00_24 km ESE of Iwaki, Japan_earthquake_4.3_141.1363_36.9715"
9/7/2023 0:00:00,4.4,1,,223.4008,"27 km SE of Shinmachi, Japan",earthquake,298,0,140.5887,35.03,57.634,japan,"2023-07-09 00:00:00_27 km SE of Shinmachi, Japan_earthquake_4.4_140.5887_35.03"
9/7/2023 0:00:00,4.6,2.7,,223.1784,"2 km N of Narutō, Japan",earthquake,326,0,140.4151,35.625,58.794,japan,"2023-07-09 00:00:00_2 km N of Narutō, Japan_earthquake_4.6_140.4151_35.625"
8/7/2023 0:00:00,4.3,1.85,,213.0592,"39 km ESE of Kamaishi, Japan",earthquake,284,0,142.2816,39.1156,59.376,japan,"2023-07-08 00:00:00_39 km ESE of Kamaishi, Japan_earthquake_4.3_142.2816_39.1156"
7/7/2023 0:00:00,4.2,1.85,,112.9792,"near the east coast of Honshu, Japan",earthquake,271,0,142.3189,40.4428,44.66,japan,"2023-07-07 00:00:00_near the east coast of Honshu, Japan_earthquake_4.2_142.3189_40.4428"
5/7/2023 0:00:00,4.6,1.85,,63.384,"15 km ENE of Shizunai-furukawachō, Japan",earthquake,326,0,142.552,42.3652,39.452,japan,"2023-07-05 00:00:00_15 km ENE of Shizunai-furukawachō, Japan_earthquake_4.6_142.552_42.3652"
5/7/2023 0:00:00,4.2,1.85,,186.26,"200 km SE of Hiroo, Japan",earthquake,271,0,144.7458,40.8396,10,japan,"2023-07-05 00:00:00_200 km SE of Hiroo, Japan_earthquake_4.2_144.7458_40.8396"
4/7/2023 0:00:00,4.6,1.85,,497.9536,"Bonin Islands, Japan region",earthquake,326,0,139.4805,28.6321,444.842,japan region,"2023-07-04 00:00:00_Bonin Islands, Japan region_earthquake_4.6_139.4805_28.6321"
4/7/2023 0:00:00,4,1.85,,109.9768,"near the west coast of Honshu, Japan",earthquake,246,0,139.8207,40.5013,186.35,japan,"2023-07-04 00:00:00_near the west coast of Honshu, Japan_earthquake_4.0_139.8207_40.5013"
1/7/2023 0:00:00,4.8,1.85,,282.448,"near the east coast of Honshu, Japan",earthquake,354,0,141.1134,35.5018,35.877,japan,"2023-07-01 00:00:00_near the east coast of Honshu, Japan_earthquake_4.8_141.1134_35.5018"
30/6/2023 0:00:00,4.3,3.1,3.267,243.528,"23 km SE of Takahagi, Japan",earthquake,284,0,140.9286,36.5965,55.121,japan,"2023-06-30 00:00:00_23 km SE of Takahagi, Japan_earthquake_4.3_140.9286_36.5965"
28/6/2023 0:00:00,4.6,3.1,3.267,298.1272,"49 km E of Hasaki, Japan",earthquake,326,0,141.3762,35.7558,35,japan,"2023-06-28 00:00:00_49 km E of Hasaki, Japan_earthquake_4.6_141.3762_35.7558"
28/6/2023 0:00:00,4.5,3.1,3.267,232.8528,None,earthquake,312,0,143.7065,39.961,10,None,2023-06-28 00:00:00_None_earthquake_4.5_143.7065_39.961
27/6/2023 0:00:00,5.8,1,2.493,288.7864,"Primor'ye, Russia",earthquake,518,0,134.0548,42.0873,442.589,russia,"2023-06-27 00:00:00_Primor'ye, Russia_earthquake_5.8_134.0548_42.0873"
25/6/2023 0:00:00,4.6,3.1,3.267,345.276,"Izu Islands, Japan region",earthquake,326,0,139.7601,30.0013,10,japan region,"2023-06-25 00:00:00_Izu Islands, Japan region_earthquake_4.6_139.7601_30.0013"
25/6/2023 0:00:00,5,3.1,3.267,355.1728,"Izu Islands, Japan region",earthquake,385,0,139.9913,29.9147,10,japan region,"2023-06-25 00:00:00_Izu Islands, Japan region_earthquake_5.0_139.9913_29.9147"
25/6/2023 0:00:00,4.4,3.1,3.267,404.8792,"Izu Islands, Japan region",earthquake,298,0,139.9142,29.4636,10,japan region,"2023-06-25 00:00:00_Izu Islands, Japan region_earthquake_4.4_139.9142_29.4636"
25/6/2023 0:00:00,5.3,3.1,3.267,358.064,None,earthquake,432,0,140.0448,29.8912,10,None,2023-06-25 00:00:00_None_earthquake_5.3_140.0448_29.8912
24/6/2023 0:00:00,4.4,3.1,3.267,547.66,"Bonin Islands, Japan region",earthquake,298,0,141.8674,28.5166,33.267,japan region,"2023-06-24 00:00:00_Bonin Islands, Japan region_earthquake_4.4_141.8674_28.5166"
