time,mag,cdi,mmi,dmin,place,earthquakeType,sig,tsunami,longitude,latitude,depth,country,id_e
30/6/2023 0:00:00,4.3,3.1,3.267,243.528,"23 km SE of Takahagi, Japan",earthquake,284,0,140.9286,36.5965,55.121,japan,"2023-06-30 00:00:00_23 km SE of Takahagi, Japan_earthquake_4.3_140.9286_36.5965"
28/6/2023 0:00:00,4.6,3.1,3.267,298.1272,"49 km E of Hasaki, Japan",earthquake,326,0,141.3762,35.7558,35,japan,"2023-06-28 00:00:00_49 km E of Hasaki, Japan_earthquake_4.6_141.3762_35.7558"
28/6/2023 0:00:00,4.5,3.1,3.267,232.8528,None,earthquake,312,0,143.7065,39.961,10,None,2023-06-28 00:00:00_None_earthquake_4.5_143.7065_39.961
27/6/2023 0:00:00,5.8,1,2.493,288.7864,"Primor'ye, Russia",earthquake,518,0,134.0548,42.0873,442.589,russia,"2023-06-27 00:00:00_Primor'ye, Russia_earthquake_5.8_134.0548_42.0873"
25/6/2023 0:00:00,4.6,3.1,3.267,345.276,"Izu Islands, Japan region",earthquake,326,0,139.7601,30.0013,10,japan region,"2023-06-25 00:00:00_Izu Islands, Japan region_earthquake_4.6_139.7601_30.0013"
25/6/2023 0:00:00,5,3.1,3.267,355.1728,"Izu Islands, Japan region",earthquake,385,0,139.9913,29.9147,10,japan region,"2023-06-25 00:00:00_Izu Islands, Japan region_earthquake_5.0_139.9913_29.9147"
25/6/2023 0:00:00,4.4,3.1,3.267,404.8792,"Izu Islands, Japan region",earthquake,298,0,139.9142,29.4636,10,japan region,"2023-06-25 00:00:00_Izu Islands, Japan region_earthquake_4.4_139.9142_29.4636"
25/6/2023 0:00:00,5.3,3.1,3.267,358.064,None,earthquake,432,0,140.0448,29.8912,10,None,2023-06-25 00:00:00_None_earthquake_5.3_140.0448_29.8912
24/6/2023 0:00:00,4.4,3.1,3.267,547.66,"Bonin Islands, Japan region",earthquake,298,0,141.8674,28.5166,33.267,japan region,"2023-06-24 00:00:00_Bonin Islands, Japan region_earthquake_4.4_141.8674_28.5166"
24/6/2023 0:00:00,4,3.1,3.267,558.5576,"121 km ENE of Kuril’sk, Russia",earthquake,246,0,149.3899,45.4723,113.019,russia,"2023-06-24 00:00:00_121 km ENE of Kuril’sk, Russia_earthquake_4.0_149.3899_45.4723"
24/6/2023 0:00:00,4.1,3.1,3.267,317.6984,"86 km S of Shikotan, Russia",earthquake,259,0,146.7751,43.0201,41.83,russia,"2023-06-24 00:00:00_86 km S of Shikotan, Russia_earthquake_4.1_146.7751_43.0201"
24/6/2023 0:00:00,4.7,3.1,3.267,259.8744,"Izu Islands, Japan region",earthquake,340,0,142.4974,32.517,10,japan region,"2023-06-24 00:00:00_Izu Islands, Japan region_earthquake_4.7_142.4974_32.517"
24/6/2023 0:00:00,4.8,3.1,3.267,346.4992,"86 km E of Tomioka, Japan",earthquake,354,0,141.9901,37.2695,40.508,japan,"2023-06-24 00:00:00_86 km E of Tomioka, Japan_earthquake_4.8_141.9901_37.2695"
23/6/2023 0:00:00,4.3,3.1,3.267,256.2048,"Izu Islands, Japan region",earthquake,284,0,142.2678,32.1027,10,japan region,"2023-06-23 00:00:00_Izu Islands, Japan region_earthquake_4.3_142.2678_32.1027"
23/6/2023 0:00:00,4.5,3.1,3.267,872.1416,"Volcano Islands, Japan region",earthquake,312,0,141.3455,25.3595,135.511,japan region,"2023-06-23 00:00:00_Volcano Islands, Japan region_earthquake_4.5_141.3455_25.3595"
22/6/2023 0:00:00,5,4.3,3.267,69.8336,"2 km NE of Okinawa, Japan",earthquake,392,0,127.8177,26.3565,35,japan,"2023-06-22 00:00:00_2 km NE of Okinawa, Japan_earthquake_5.0_127.8177_26.3565"
