nombreUbicacion,latitud,longitud,magnitudSismo,tsunami,volcan,pais,profundidadSismo,intensidad,fecha,muertesActualizadas,ordenCantidadMuertesActualizadas,lesionesActualizadas,ordenCantidadLesionesActualizadas,casasDanadasActualizadas,ordenCantidadCasasDanadasActualizadas,casasDestruidasActualizadas,ordenCantidadCasasDestruidasActualizadas,danosActualizados,ordenCantidadDanosActualizados
JAPAN:  UCHIURA BAY,42.07,140.68,6.5,1,1,JAPAN,40.153361344537814,7.85655923740354,1640-07-31,700.0,3.0,1.0,1.0,1.0,3.0,20.0,1.0,0.5,1.0
JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA,34.221,139.131,6.1,1,1,JAPAN,10.0,7.85655923740354,2000-07-01,1.0,1.0,101.0,3.0,1.0,3.0,101.0,3.0,0.5,1.0
RWANDA: RUBAVU; CONGO,-1.601,29.4,4.7,0,1,RWANDA,10.0,7.0,2021-05-25,32.0,1.0,1.0,1.0,1.0,1.0,5000.0,4.0,5.0,3.0
CHINA:  SHAANXI PROVINCE,35.6,110.9,5.4,0,0,CHINA,40.153361344537814,7.0,1959-08-10,1.0,1.0,1.0,1.0,1.0,3.0,43.0,1.0,0.5,1.0
"PERU:  CAMANA, AREQUIPA",-16.66,-72.662,6.8,0,0,PERU,87.0,6.0,1999-04-03,1.0,1.0,50.0,1.0,300.0,3.0,101.0,3.0,1.0,2.0
IRAN:  SHIRAZ,29.647,51.665,5.8,0,0,IRAN,27.0,7.85655923740354,2010-09-27,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.5,1.0
CHINA:  YUNNAN PROVINCE,24.4,103.0,6.5,0,0,CHINA,40.153361344537814,8.0,1909-05-11,21.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
"INDONESIA:  NEW GUINEA:  IRIAN JAYA:  BIAK, SUPIORI",-0.891,136.952,8.2,1,0,INDONESIA,33.0,9.0,1996-02-17,164.0,3.0,423.0,3.0,1.0,3.0,5043.0,4.0,4.2,2.0
JAPAN:  HONSHU:  E COAST,36.158,141.521,6.8,0,0,JAPAN,39.0,7.85655923740354,2008-05-07,1.0,1.0,6.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
GUAM,14.0,143.3,7.5,1,0,USA TERRITORY,40.153361344537814,8.0,1892-05-16,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0
"GUATEMALA:  COLOMBA, FLORES, COSTA CUCA",14.129,-91.479,5.6,0,0,GUATEMALA,66.0,7.85655923740354,2008-01-05,1.0,1.0,1.0,1.0,1.0,1.0,101.0,3.0,0.5,1.0
"CALIFORNIA:  CENTRAL: PARKFIELD, SAN MIGUEL",35.819,-120.364,6.0,0,0,USA,9.0,6.0,2004-09-28,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
"MEXICO:  JALISCO,OAXACA,MICHOACAN",20.34,-105.0,7.5,0,0,MEXICO,40.153361344537814,8.0,1806-03-25,2000.0,4.0,1.0,1.0,1.0,3.0,101.0,3.0,25.0,4.0
"GUATEMALA:  QUEZALTENANGO, SAN MARCOS, SOLOLA",14.374,-91.473,6.6,0,0,GUATEMALA,33.0,7.85655923740354,1998-01-10,1.0,1.0,27.0,1.0,51.0,2.0,51.0,2.0,0.5,1.0
CHINA:   YUNNAN PROVINCE:  YONGPING,23.383,100.47,6.1,0,0,CHINA,9.0,4.0,2014-10-07,1.0,1.0,323.0,3.0,1.0,3.0,1.0,1.0,274.0,4.0
CHINA:  SICHUAN PROVINCE,30.1,101.9,5.5,0,0,CHINA,40.153361344537814,7.0,1748-03-06,15.0,1.0,34.0,1.0,1.0,3.0,14.0,1.0,0.5,1.0
"NEPAL-INDIA:  KATHMANDU, BIHAR",26.755,86.616,6.6,1,0,NEPAL,57.0,8.0,1988-08-20,998.0,3.0,1.0,1.0,1.0,3.0,101.0,3.0,131.5,4.0
TAIWAN:  TAIDONG,22.9,121.2,7.0,0,0,TAIWAN,40.153361344537814,7.85655923740354,1937-12-08,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,0.5,1.0
INDONESIA:  SW. SUMATRA,1.0,97.5,6.8,1,0,INDONESIA,40.153361344537814,7.85655923740354,1861-06-17,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
JAPAN:  SAGAMI BAY,35.2,139.5,7.0,1,0,JAPAN,40.153361344537814,7.85655923740354,1257-10-09,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
BALKANS NW:  SLOVENIA:  LJUBLJANA,46.1,14.5,6.1,0,0,SLOVENIA,16.0,9.0,1895-04-14,7.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,5.0,3.0
PERU,-13.0,-69.5,6.9,1,0,PERU,30.0,9.0,1928-04-09,10.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,5.0,3.0
"MICRONESIA, FED. STATES OF:  CAROLINE ISLANDS",6.0,132.5,7.6,0,0,PALAU,60.0,7.85655923740354,1914-10-23,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
CHINA:  YUNNAN PROVINCE,27.0,100.0,5.8,0,0,CHINA,40.153361344537814,7.0,1925-10-14,12.0,1.0,101.0,3.0,1.0,3.0,500.0,3.0,1.0,2.0
"INDIA: MAHARASHTRA: AMBEGHAR, DICHOLI, KISRULE",17.067,73.773,4.7,0,0,INDIA,10.0,6.0,2005-08-30,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
SOUTH KOREA:  KYONGJU,35.5,129.1,6.3,0,0,SOUTH KOREA,40.153361344537814,8.0,510-00-00,101.0,3.0,1.0,1.0,1.0,3.0,51.0,2.0,1.0,2.0
ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.4,-167.5,7.8,0,0,USA,40.153361344537814,7.85655923740354,1902-01-01,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,1.0,2.0
INDIA:  MAHARASHTRA:  SATARA,17.2,73.7,4.4,0,0,INDIA,5.0,7.85655923740354,2007-08-20,1.0,1.0,1.0,1.0,1.0,3.0,101.0,3.0,0.5,1.0
TAIWAN:  TAINAN,23.2,120.6,5.5,0,0,TAIWAN,40.153361344537814,7.85655923740354,1930-12-22,1.0,1.0,1.0,1.0,1.0,3.0,121.0,3.0,1.0,2.0
